RecordID,SightDate,Year,Month,Time,Location,Location2,FishArea,Quadrant,ActualLatitude,ActualLongitude,Species,Count,Count_clean,Direction,Pod,LikelyPod,Comments,Channel,Source,ReportingParty,Harrassment,OCstranding,SJCstranding,FieldIvest,Hydrophone,StrandReport,Alive/Dead,Stranded
14257,5/2/2008,2008,5,,5390,,29C,64,,,Harbor Porpoise,20+,20+,,,,,Orca Network,BCSN,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
86365,6/6/2013,2013,6,14:10,4836,W of Pt. Roberts,,96,48.962111,-123.133308,Harbor Porpoise,4,4,E,,,,Other,WW,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
35623,5/14/2010,2010,5,,4426,,7,97,0,0,Harbor Porpoise,50+,50+,,,,,Orca Network,Reliable,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
3779,8/25/2002,2002,8,10:30,4426,,7,97,,,Harbor Porpoise,1,1,,,,Dead,Hotline,Reliable,,FALSE,TRUE,FALSE,FALSE,FALSE,,Dead,
14258,5/6/2008,2008,5,,4428,,7,97,,,Harbor Porpoise,35-40,35.4,,,,,Orca Network,BCSN,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
14259,5/8/2008,2008,5,,4428,,7,97,,,Harbor Porpoise,42+,42+,,,,Foraging in riptides,Orca Network,BCSN,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
14288,5/15/2008,2008,5,,4428,,7,97,,,Harbor Porpoise,,,,,,,Orca Network,Reliable,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
64633,7/10/1988,1988,7,,534,,7,108,0,0,harbor porpoise,15-20,15.2,S,,,,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
64634,8/13/1988,1988,8,,534,,7,108,0,0,harbor porpoise,2,2,mill,,,,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
12546,8/21/2007,2007,8,,534,,7,108,,,Harbor Porpoise,1,1,,,,Dead animal on beach; ALT response - forwarded info to NMFS.,Hotline,Public,,FALSE,TRUE,FALSE,FALSE,FALSE,NR,Dead,
76218,4/14/1990,1990,4,13:30,42,,18C,115,0,0,Harbor porpoise,1,1,,,,,Hotline,Reliable,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
76180,6/20/1989,1989,6,,7022,,18C,123,0,0,Harbor porpoise,3,3,,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
83301,4/29/2012,2012,4,14:15,7022,Outside of Prevost,18C,123,0,0,Harbor Porpoise,10~,10~,,,,,Other,WW-WP,Craig,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
2343,7/9/2001,2001,7,,1012,,7,132,,,Harbor Porpoise,1,1,,,,Dead porpoise originally reported as a dead orca. Checked out by NMFS.,,Reliable,,FALSE,TRUE,FALSE,FALSE,FALSE,,Dead,
44364,7/5/2011,2011,7,15:00,4198,,7,135,0,0,Harbor Porpoise,20+,20+,,,,,Other,WW-WP,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
