"Quadrant","RecordID","SightDate","Year","Month","Time","Location","FishArea","Species","Comments","Channel","Source","Harrassment","OCstranding","SJCstranding","FieldIvest","Hydrophone","StrandReport","Alive.Dead","Count","Reliable_Source","Record_Type","Season","Group_size","Arc_Lat","Arc_Long","lat_all","long_all","mean_long","mean_lat"
64,14257,"5/2/08",2008,5,NA,5390,"29C","Harbor Porpoise",NA,"Orca Network","BCSN",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",20,"Public","Sighting","Spring","10-25",49.133,-123.357,49.133,-123.357,-123.357,49.133
96,86365,"6/6/13",2013,6,"14:10",4836,NA,"Harbor Porpoise",NA,"Other","WW",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",4,"Public","Sighting","Summer","1-5",NA,NA,48.962111,-123.133308,-123.133308,48.962111
97,35623,"5/14/10",2010,5,NA,4426,"7","Harbor Porpoise",NA,"Orca Network","Reliable",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",50,"Trained_Observer","Sighting","Spring","50-100",48.98,-123.105,48.98,-123.105,-123.105,48.98
97,14288,"5/15/08",2008,5,NA,4428,"7","Harbor Porpoise",NA,"Orca Network","Reliable",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",NA,"Trained_Observer","Sighting","Spring",NA,48.98,-123.105,48.98,-123.105,-123.105,48.98
97,3779,"8/25/02",2002,8,"10:30",4426,"7","Harbor Porpoise","Dead","Hotline","Reliable",FALSE,TRUE,FALSE,FALSE,FALSE,NA,"Dead",1,"Trained_Observer","Stranding","Summer","1-5",48.98,-123.105,48.98,-123.105,-123.105,48.98
97,14259,"5/8/08",2008,5,NA,4428,"7","Harbor Porpoise","Foraging in riptides","Orca Network","BCSN",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",42,"Public","Sighting","Spring","25-50",48.98,-123.105,48.98,-123.105,-123.105,48.98
97,14258,"5/6/08",2008,5,NA,4428,"7","Harbor Porpoise",NA,"Orca Network","BCSN",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",35,"Public","Sighting","Spring","25-50",48.98,-123.105,48.98,-123.105,-123.105,48.98
108,12546,"8/21/07",2007,8,NA,534,"7","Harbor Porpoise","Dead animal on beach; ALT response - forwarded info to NMFS.","Hotline","Public",FALSE,TRUE,FALSE,FALSE,FALSE,"NR","Dead",1,"Public","Stranding","Summer","1-5",48.924,-122.781,48.924,-122.781,-122.781,48.924
108,64634,"8/13/88",1988,8,NA,534,"7","harbor porpoise",NA,"Hotline","Public",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",2,"Public","Sighting","Summer","1-5",48.924,-122.781,48.924,-122.781,-122.781,48.924
108,64633,"7/10/88",1988,7,NA,534,"7","harbor porpoise",NA,"Hotline","Public",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",15,"Public","Sighting","Summer","10-25",48.924,-122.781,48.924,-122.781,-122.781,48.924
115,76218,"4/14/90",1990,4,"13:30",42,"18C","Harbor porpoise",NA,"Hotline","Reliable",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",1,"Trained_Observer","Sighting","Spring","1-5",48.922,-123.233,48.922,-123.233,-123.233,48.922
123,83301,"4/29/12",2012,4,"14:15",7022,"18C","Harbor Porpoise",NA,"Other","WW-WP",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",10,"Public","Sighting","Spring","10-25",48.844,-123.359,48.844,-123.359,-123.359,48.844
123,76180,"6/20/89",1989,6,NA,7022,"18C","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",3,"Public","Sighting","Summer","1-5",48.844,-123.359,48.844,-123.359,-123.359,48.844
132,2343,"7/9/01",2001,7,NA,1012,"7","Harbor Porpoise","Dead porpoise originally reported as a dead orca. Checked out by NMFS.",NA,"Reliable",FALSE,TRUE,FALSE,FALSE,FALSE,NA,"Dead",1,"Trained_Observer","Stranding","Summer","1-5",48.849,-122.765,48.849,-122.765,-122.765,48.849
135,44364,"7/5/11",2011,7,"15:00",4198,"7","Harbor Porpoise",NA,"Other","WW-WP",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",20,"Public","Sighting","Summer","10-25",48.841,-122.967,48.841,-122.967,-122.967,48.841
140,5189,"8/14/03",2003,8,NA,6377,"18C","Harbor Porpoise",NA,"Orca Net","Reliable",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",NA,"Trained_Observer","Sighting","Summer",NA,48.808,-123.098,48.808,-123.098,-123.098,48.808
141,34099,"8/2/09",2009,8,"15:00",6381,"18C","Harbor Porpoise",NA,"other","MysticSea",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",NA,"Public","Sighting","Summer",NA,NA,NA,48.794056,-123.0262,-123.0262,48.794056
141,86419,"6/13/13",2013,6,NA,1811,NA,"Harbor Porpoise",NA,"Other","WW",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",15,"Public","Sighting","Summer","10-25",NA,NA,48.794056,-123.0262,-123.0262,48.794056
142,83246,"5/16/12",2012,5,"16:00",7158,"7","Harbor Porpoise",NA,"Other","WW-WP",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",10,"Public","Sighting","Spring","10-25",48.808,-122.96,48.808,-122.96,-122.96,48.808
144,62330,"8/22/84",1984,8,"16:30",105,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",1,"Public","Sighting","Summer","1-5",48.81,-122.846,48.81,-122.846,-122.846,48.81
145,34439,"9/3/09",2009,9,NA,3889,"7","Harbor Porpoise",NA,"other","MysticSea",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",NA,"Public","Sighting","Fall",NA,48.814,-122.748,48.814,-122.748,-122.748,48.814
147,18583,"9/2/09",2009,9,"12:52",3439,"7","Harbor Porpoise","Neonate with placenta attached - came in as orca calf; Whatcom county responded and picked it up.","Hotline","Public",FALSE,TRUE,FALSE,FALSE,FALSE,"NR","Dead",1,"Public","Stranding","Fall","1-5",48.766,-122.779,48.766,-122.779,-122.779,48.766
148,9045,"7/31/05",2005,7,"11:00",3567,"7","Harbor Porpoise","SW picked up dead adult floater in water.  Transferred to WDFW boat.  RWO & ALT picked up.  Necropsied on 8/2/05.","Other","TWM",FALSE,FALSE,TRUE,TRUE,FALSE,"2005-SJ075","Dead",1,"Public","Stranding","Summer","1-5",48.766,-122.841,48.766,-122.841,-122.841,48.766
148,73455,"6/22/91",1991,6,"9:30",3567,"7","Harbor porpoise",NA,"Hotline","Public",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",1,"Public","Sighting","Summer","1-5",48.766,-122.841,48.766,-122.841,-122.841,48.766
148,73456,"8/12/91",1991,8,"10:46",3567,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",3,"Public","Sighting","Summer","1-5",48.766,-122.841,48.766,-122.841,-122.841,48.766
148,73451,"4/6/86",1986,4,"11:00",3567,"7","harbor porpoise",NA,"Hotline","Public",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",2,"Public","Sighting","Spring","1-5",48.766,-122.841,48.766,-122.841,-122.841,48.766
149,79813,"8/25/91",1991,8,"15:53",6104,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",4,"Public","Sighting","Summer","1-5",48.772,-122.912,48.772,-122.912,-122.912,48.772
149,7065,"9/5/04",2004,9,"16:00",6104,"7","Harbor Porpoise","Swimming","Other","TWM",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",2,"Public","Sighting","Fall","1-5",48.772,-122.912,48.772,-122.912,-122.912,48.772
149,79812,"8/22/91",1991,8,"15:40",6104,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",3,"Public","Sighting","Summer","1-5",48.772,-122.912,48.772,-122.912,-122.912,48.772
149,79795,"5/12/76",1976,5,"19:00",6104,"7","Harbor porpoise",NA,"HDB","RM - Research maps",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",8,"Public","Sighting","Spring","5-10",48.772,-122.912,48.772,-122.912,-122.912,48.772
149,79814,"8/25/91",1991,8,"16:55",6104,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",1,"Public","Sighting","Summer","1-5",48.772,-122.912,48.772,-122.912,-122.912,48.772
149,3397,"6/1/02",2002,6,"16:20",6104,"7","Harbor Porpoise",NA,"Email","Public",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",3,"Public","Sighting","Summer","1-5",48.772,-122.912,48.772,-122.912,-122.912,48.772
149,79802,"6/3/79",1979,6,"13:00",6104,"7","harbor porpoise",NA,"Hotline","Public",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",5,"Public","Sighting","Summer","5-10",48.772,-122.912,48.772,-122.912,-122.912,48.772
149,79810,"7/31/91",1991,7,"13:52",6104,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",8,"Public","Sighting","Summer","5-10",48.772,-122.912,48.772,-122.912,-122.912,48.772
149,79811,"8/18/91",1991,8,"10:37",6104,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",3,"Public","Sighting","Summer","1-5",48.772,-122.912,48.772,-122.912,-122.912,48.772
150,74755,"8/25/91",1991,8,"16:34",4197,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",2,"Public","Sighting","Summer","1-5",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,74697,"7/22/78",1978,7,"14:52",4197,"7","Harbor porpoise",NA,"Hotline","Public",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",2,"Public","Sighting","Summer","1-5",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,74735,"8/26/91",1991,8,"15:32",4197,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",6,"Public","Sighting","Summer","5-10",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,74732,"8/12/91",1991,8,"9:32",4197,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",1,"Public","Sighting","Summer","1-5",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,74731,"7/11/91",1991,7,"12:44",4197,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",7,"Public","Sighting","Summer","5-10",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,74746,"6/27/76",1976,6,"17:06",4197,"7","Harbor porpoise",NA,"HDB","Researchers",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",2,"Public","Sighting","Summer","1-5",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,74754,"8/22/91",1991,8,"15:09",4197,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",2,"Public","Sighting","Summer","1-5",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,82784,"8/21/12",2012,8,"14:40",7313,"7","Harbor Porpoise",NA,"Other","WW",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",2,"Public","Sighting","Summer","1-5",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,81094,"6/24/84",1984,6,"11:30",7313,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",33,"Public","Sighting","Summer","25-50",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,74734,"8/18/91",1991,8,"10:06",4197,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",2,"Public","Sighting","Summer","1-5",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,74715,"8/22/84",1984,8,"14:30",4197,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",2,"Public","Sighting","Summer","1-5",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,39769,"5/9/10",2010,5,"13:20",4197,"7","Harbor Porpoise",NA,"Other","WW",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",20,"Public","Sighting","Spring","10-25",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,32303,"6/15/08",2008,6,"14:00",4197,"7","Harbor Porpoise",NA,"other","Eclipse",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",NA,"Public","Sighting","Summer",NA,48.766,-122.972,48.766,-122.972,-122.972,48.766
150,74756,"8/25/91",1991,8,"17:00",4197,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",3,"Public","Sighting","Summer","1-5",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,74733,"8/14/91",1991,8,"12:55",4197,"7","Harbor porpoise","Observed over a 4-hour period","HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",25,"Public","Sighting","Summer","25-50",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,79818,"8/25/91",1991,8,"17:11",6106,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",1,"Public","Sighting","Summer","1-5",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,39766,"5/11/10",2010,5,"13:45",4197,"7","Harbor Porpoise",NA,"Other","WW",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",50,"Public","Sighting","Spring","50-100",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,74730,"6/24/91",1991,6,"14:00",4197,"7","Harbor porpoise",NA,"Hotline","Public",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",50,"Public","Sighting","Summer","50-100",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,39785,"5/5/10",2010,5,"13:10",4197,"7","Harbor Porpoise",NA,"Other","WW",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",22,"Public","Sighting","Spring","10-25",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,74699,"7/27/78",1978,7,"18:06",4197,"7","Harbor porpoise",NA,"Hotline","Public",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",7,"Public","Sighting","Summer","5-10",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,81095,"7/2/84",1984,7,"16:00",7313,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",20,"Public","Sighting","Summer","10-25",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,34441,"9/3/09",2009,9,NA,4197,"7","Harbor Porpoise",NA,"other","MysticSea",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",NA,"Public","Sighting","Fall",NA,48.766,-122.972,48.766,-122.972,-122.972,48.766
150,79817,"8/25/91",1991,8,"16:27",6106,"7","Harbor porpoise",NA,"HDB","Researcher",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",1,"Public","Sighting","Summer","1-5",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,17295,"6/13/00",2000,6,NA,4197,"7","Harbor Porpoise",NA,"Orca Network","Reliable",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",100,"Trained_Observer","Sighting","Summer","100+",48.766,-122.972,48.766,-122.972,-122.972,48.766
150,39739,"5/26/10",2010,5,"13:35",4197,"7","Harbor Porpoise",NA,"Other","WW",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",12,"Public","Sighting","Spring","10-25",48.766,-122.972,48.766,-122.972,-122.972,48.766
151,83182,"5/27/12",2012,5,"17:25",622,"18C","Harbor Porpoise",NA,"Other","WW-WP",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",10,"Public","Sighting","Spring","10-25",48.766,-123.033,48.766,-123.033,-123.033,48.766
151,18160,"8/14/09",2009,8,NA,1773,"18C","Harbor Porpoise",NA,"Orca Network","Reliable",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",NA,"Trained_Observer","Sighting","Summer",NA,48.766,-123.033,48.766,-123.033,-123.033,48.766
151,82793,"8/19/12",2012,8,NA,622,"18C","Harbor Porpoise","PM sighting","Other","WW",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",50,"Public","Sighting","Summer","50-100",48.766,-123.033,48.766,-123.033,-123.033,48.766
151,35551,"5/9/10",2010,5,NA,622,"18C","Harbor Porpoise",NA,"Orca Network","Reliable",FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Alive",100,"Trained_Observer","Sighting","Spring","100+",48.766,-123.033,48.766,-123.033,-123.033,48.766
