Quadrant,Arc_Lat,Arc_Long
64,49.133,-123.357
97,48.98,-123.105
108,48.924,-122.781
115,48.922,-123.233
123,48.844,-123.359
132,48.849,-122.765
135,48.841,-122.967
140,48.808,-123.098
142,48.808,-122.96
144,48.81,-122.846
145,48.814,-122.748
147,48.766,-122.779
148,48.766,-122.841
149,48.772,-122.912
150,48.766,-122.972
151,48.766,-123.033
153,48.742,-123.14
154,48.797,-123.231
156,48.797,-123.551
160,48.714,-123.426
161,48.742,-123.378
162,48.744,-123.3
163,48.709,-123.259
165,48.692,-123.136
166,48.693,-123.082
171,48.675,-123.313
172,48.68,-123.374
173,48.625,-123.367
174,48.635,-123.298
177,48.555,-123.292
179,48.518,-123.314
180,48.518,-123.257
182,48.474,-123.254
183,48.463,-123.195
190,48.676,-122.91
191,48.614,-122.979
194,48.723,-123
196,48.722,-122.836
197,48.714,-122.77
200,48.709,-122.655
205,48.647,-122.572
206,48.615,-122.487
210,48.592,-122.772
211,48.585,-122.677
212,48.546,-122.544
213,48.496,-122.518
214,48.535,-122.684
220,48.458,-122.7
221,48.457,-122.782
222,48.413,-122.709
223,48.412,-122.776
225,48.415,-122.908
227,48.409,-123.036
228,48.411,-123.102
229,48.415,-123.16
230,48.414,-123.229
231,48.403,-123.292
232,48.402,-123.386
233,48.404,-123.445
235,48.357,-123.416
236,48.359,-123.356
237,48.362,-123.291
238,48.361,-123.227
239,48.363,-123.154
241,48.366,-123.03
255,48.318,-123.228
256,48.322,-123.304
257,48.318,-123.366
258,48.319,-123.424
259,48.317,-123.494
260,48.31,-123.558
261,48.309,-123.615
264,48.349,-123.746
265,48.348,-123.814
267,48.313,-123.88
274,48.403,-124.075
288,48.266,-123.938
294,48.271,-123.554
295,48.273,-123.488
297,48.277,-123.36
305,48.278,-122.837
313,48.235,-123.173
343,48.154,-123.426
350,48.196,-123.157
360,48.151,-122.905
362,48.196,-122.832
365,48.176,-122.726
371,48.295,-122.475
372,48.282,-122.586
373,48.241,-122.664
374,48.245,-122.587
375,48.19,-122.566
377,48.187,-122.422
381,48.106,-122.47
382,48.091,-122.343
385,48.023,-122.254
386,47.975,-122.324
387,48.128,-122.721
388,48.144,-122.641
389,48.101,-122.648
390,48.064,-122.648
391,48.079,-122.762
392,48.02,-122.639
394,47.991,-122.571
395,47.952,-122.571
396,47.961,-122.489
397,47.905,-122.482
398,47.901,-122.384
401,47.812,-122.441
402,47.777,-122.439
403,47.732,-122.404
404,47.731,-122.459
405,47.732,-122.521
407,47.687,-122.457
408,47.643,-122.457
409,47.607,-122.363
414,47.518,-122.416
415,47.472,-122.402
419,47.361,-122.372
421,47.287,-122.443
422,47.283,-122.538
423,47.241,-122.577
426,47.181,-122.627
427,47.108,-122.703
430,47.095,-122.912
433,47.291,-122.817
445,47.889,-122.596
